	Ao_Oe	Ao_St	Ao_Li	Ao_Py	Ao_Ai	Ao_Mi	Ao_Pi	Bf_En	Bf_Gi	Bf_Mi	Bf_Lv	Bf_Hd	Pf_Pr	Pf_Co	Pf_Ph1	Pf_Ph2	Pf_Ph3	Pf_Es	Pf_He1	Pf_He2	Pf_In1	Pf_In2	Pf_In3	Sp_Ph	Sp_Es	Sp_St1	Sp_St2	Sp_St3	Sp_St4	Sp_In1	Sp_In2	Sp_In3	Pd_Sto	Pd_Mo	Pd_Tr1	Pd_Es	Pd_Tr2	Pd_Std	Pd_Tr3	Pd_Mi	Pd_Tr4	Pd_Hi
Ao_Oe	0	0	0	0	0	0	0	0.031657294	0.045739379	0	0	0	0.022474053	0.016372062	0	0	0	0	0	0	0	0	0	0.063510634	0.018455195	0	0	0	0	0	0	0	0.027471723	0.033346679	0.012116173	0.015847111	0	0	0	0	0	0
Ao_St	0	0	0	0	0	0	0	0.032724601	0.027122896	0	0.012480975	0	0.004962611	0	0	0	0	0	0	0.004576254	0.002255788	0.00255149	0.002639186	0.011937418	0.009950627	0.004873181	0.007539513	0.0105765	0.002525683	0	0	0	0.006352085	0	0.017816503	0.023437233	0	0	0	0	0	0
Ao_Li	0	0	0	0	0	0	0	0	0	0	0.066960838	0	0	0.014115469	0	0	0	0	0	0.037281768	0.039737223	0.039013504	0.035452811	0	0	0.033539318	0.04415434	0.041089984	0.037498772	0	0	0	0	0	0	0	0.032103602	0.042777099	0.023152063	0.022474542	0.005075299	0
Ao_Py	0	0	0	0	0	0	0	0	0	0	0.027755974	0.01659131	0	0	0	0	0	0.011315925	0.002575675	0	0.022529061	0.007487865	0	0	0	0	0.01475473	0.022561768	0.022720543	0.015206093	0.015346026	0.015144391	0	0	0	0	0	0.023484966	0.014544192	0.003551836	0.002493309	0
Ao_Ai	0	0	0	0	0	0	0	0	0	0.002874231	0.006444337	0.039165509	0	0	0.018505424	0.015027773	0.012755585	0	0	0	0	0	0	0	0	0.002696776	0.00575004	0.002925291	0.011342906	0.015347612	0.026779423	0.028716614	0	0	0	0	0.002587355	0.009105341	0.003256594	0.009472258	0.015056378	0.014211513
Ao_Mi	0	0	0	0	0	0	0	0	0	0	0	0.052364925	0	0	0.026036333	0.02183775	0.017814475	0.011677927	0	0	0	0	0	0	0	0	0	0	0	0.038574955	0.023976093	0.032506038	0	0	0	0	0	0	0	0.006795095	0.00304851	0.004144306
Ao_Pi	0	0	0	0	0	0	0	0	0	0.021788793	0	0.052858936	0	0	0	0	0	0.01616783	0	0	0	0	0	0	0	0	0	0	0	0.040939057	0.04138308	0.028363268	0	0	0	0	0	0.002586297	0.002511977	0	0	0
Bf_En	0	0	0	0.054247183	0.047702343	0.046842016	0.056383031	0	0	0	0	0	0.064895934	0.019895069	0	0	0	0	0	0	0	0	0	0.057324419	0.064870375	0	0	0	0	0	0	0	0.054190635	0.053010113	0.045358623	0.041485062	0	0	0	0	0	0
Bf_Gi	0.002428949	0.004099272	0	0	0	0	0	0	0	0	0	0	0.034940767	0.029168992	0	0.003551097	0.009860302	0	0	0	0	0	0	0.056639721	0.046292137	0	0	0	0	0	0	0	0.048971467	0.045294774	0.03865493	0.040928692	0	0	0	0	0	0
Bf_Mi	0.005220499	0.00825447	0.031800986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036291172	0.004637789	0.006490555	0.009500361	0.005997372	0	0	0.00719135	0.007112486	0	0.010829864	0	0	0	0	0	0	0	0.025773879	0.024405594	0.032586663	0.01960041	0.003013037	0
