"geneID","transcriptID","proteinID","transcript_length"
"129348986","XM_055010900.1","XP_054866875.1",1705
"111568353","XM_055010652.1","XP_054866627.1",4799
"111568353","XM_023269970.3","XP_023125738.2",9785
"111568349","XM_023269966.3","XP_023125734.2",3016
"111568351","XM_023269968.3","XP_023125736.2",3885
"111568350","XM_023269967.3","XP_023125735.1",1564
"111568352","XM_055011116.1","XP_054867091.1",7262
"111568352","XM_055011119.1","XP_054867094.1",7189
"111568352","XM_055011120.1","XP_054867095.1",6369
"111568352","XM_055011123.1","XP_054867098.1",11000
"111571207","XM_023274301.3","XP_023130069.1",1754
"111571206","XM_023274300.2","XP_023130068.1",559
"111571202","XM_023274286.3","XP_023130054.1",5202
"111571202","XM_023274287.3","XP_023130055.1",5177
"111571202","XM_023274284.3","XP_023130052.1",5311
"111571202","XM_023274285.3","XP_023130053.1",5286
"111571203","XM_023274290.3","XP_023130058.1",2660
"111571204","XM_055011913.1","XP_054867888.1",6727
"111571204","XM_055011908.1","XP_054867883.1",6754
"111571204","XM_055011906.1","XP_054867881.1",6820
"111571204","XM_055011891.1","XP_054867866.1",6985
"111571204","XM_055011901.1","XP_054867876.1",6918
"111571204","XM_055011915.1","XP_054867890.1",6861
"111571204","XM_055011898.1","XP_054867873.1",6927
"111571204","XM_055011896.1","XP_054867871.1",6951
"111571204","XM_055011899.1","XP_054867874.1",6918
"111571204","XM_055011904.1","XP_054867879.1",5172
"111567966","XM_023269386.3","XP_023125154.1",2335
"111567963","XM_023269380.3","XP_023125148.1",2512
"111567964","XM_055009181.1","XP_054865156.1",9510
"111567964","XM_055009191.1","XP_054865166.1",9444
"111567964","XM_055009194.1","XP_054865169.1",9348
"111567964","XM_055009168.1","XP_054865143.1",9561
"111567964","XM_055009186.1","XP_054865161.1",9495
"111567964","XM_055009179.1","XP_054865154.1",9513
"111567964","XM_055009174.1","XP_054865149.1",9516
"111567964","XM_055009170.1","XP_054865145.1",9561
"111567964","XM_055009165.1","XP_054865140.1",9564
"111585798","XM_023295411.3","XP_023151179.1",1520
"111580711","XM_055011732.1","XP_054867707.1",2597
"111574585","XM_023279273.3","XP_023135041.1",2104
"111574583","XM_023279271.3","XP_023135039.1",3571
"111574583","XM_023279268.3","XP_023135036.1",3412
"111574590","XM_023279279.3","XP_023135047.1",5386
"111574590","XM_055012004.1","XP_054867979.1",4515
"111574590","XM_035952392.2","XP_035808285.1",4607
"111588606","XM_055018185.1","XP_054874160.1",3577
"111564424","XM_023263978.3","XP_023119746.2",6416
"129349160","XM_055011617.1","XP_054867592.1",539
"111564416","XM_055009404.1","XP_054865379.1",3626
"111564427","XM_035945315.2","XP_035801208.1",3173
"111564427","XM_023263981.2","XP_023119749.1",3188
"111564427","XM_035945316.2","XP_035801209.1",3320
"111564421","XM_055009433.1","XP_054865408.1",2107
"111564421","XM_055009427.1","XP_054865402.1",1800
"111564418","XM_035945321.2","XP_035801214.1",1019
"111564418","XM_055009424.1","XP_054865399.1",818
"111564417","XM_023263964.3","XP_023119732.1",2310
"111564423","XM_023263977.3","XP_023119745.1",752
"111564410","XM_035945323.2","XP_035801216.1",7923
"111564410","XM_023263955.3","XP_023119723.1",7926
"111564425","XM_035945308.2","XP_035801201.2",2062
"111564425","XM_023263979.3","XP_023119747.2",2223
"111564425","XM_035945306.2","XP_035801199.2",2361
"111564425","XM_055013374.1","XP_054869349.1",2449
"111564425","XM_055013397.1","XP_054869372.1",2526
"111564425","XM_035945309.2","XP_035801202.2",2199
"111564425","XM_055013404.1","XP_054869379.1",2287
"111564426","XM_023263980.3","XP_023119748.2",780
"111564411","XM_023263956.2","XP_023119724.1",1895
"111564412","XM_023263958.3","XP_023119726.1",5271
"111564412","XM_023263957.3","XP_023119725.1",5471
"111564413","XM_023263959.3","XP_023119727.1",2749
"111564419","XM_055013418.1","XP_054869393.1",3333
"111564419","XM_023263967.3","XP_023119735.1",3287
"111564420","XM_023263968.3","XP_023119736.2",6110
"111564420","XM_035945322.2","XP_035801215.2",6152
"111564420","XM_023263970.3","XP_023119738.2",6049
"111564420","XM_055010096.1","XP_054866071.1",5955
"111564420","XM_023263969.3","XP_023119737.2",6052
"111564422","XM_023263974.3","XP_023119742.1",2485
"111564422","XM_023263976.3","XP_023119744.3",3283
"111564414","XM_055013584.1","XP_054869559.1",3664
"111564414","XM_035945310.2","XP_035801203.1",3672
"111564414","XM_035945313.2","XP_035801206.1",3100
"111564414","XM_035945311.2","XP_035801204.1",3332
"111564414","XM_023263960.3","XP_023119728.1",3626
"111564414","XM_023263961.3","XP_023119729.1",3286
"111586093","XM_023295792.3","XP_023151560.1",4277
"111586093","XM_055011047.1","XP_054867022.1",4316
"111586093","XM_023295790.3","XP_023151558.1",4280
"111586093","XM_055011044.1","XP_054867019.1",4319
"111586093","XM_055011037.1","XP_054867012.1",4352
"111586093","XM_055011035.1","XP_054867010.1",4355
"111586093","XM_055011036.1","XP_054867011.1",4355
"111586093","XM_055011033.1","XP_054867008.1",4358
"111586093","XM_055011043.1","XP_054867018.1",4346
"111586093","XM_023295789.3","XP_023151557.1",4310
"111586093","XM_055011040.1","XP_054867015.1",4349
"111586093","XM_055011030.1","XP_054867005.1",4382
"111586093","XM_055011022.1","XP_054866997.1",4385
"111586093","XM_055011028.1","XP_054867003.1",4385
"111586093","XM_035941781.2","XP_035797674.1",4349
"111586093","XM_055011019.1","XP_054866994.1",4388
"111564885","XM_023264781.3","XP_023120549.2",6726
"111564885","XM_023264860.3","XP_023120628.2",6668
"111564639","XM_035945428.2","XP_035801321.2",1739
"111564639","XM_023264378.3","XP_023120146.2",1660
"111564639","XM_035945490.2","XP_035801383.2",1671
"111564639","XM_023264622.3","XP_023120390.2",1583
"111568828","XM_023270667.3","XP_023126435.1",2079
"111568826","XM_023270658.3","XP_023126426.1",2886
"111568826","XM_055011646.1","XP_054867621.1",2866
"111568826","XM_055011644.1","XP_054867619.1",2869
"111568827","XM_055013355.1","XP_054869330.1",5500
"111568827","XM_055013349.1","XP_054869324.1",12811
"111568827","XM_035948352.2","XP_035804245.2",3390
"111568827","XM_035948353.2","XP_035804246.2",3396
"111568827","XM_035948350.2","XP_035804243.2",3600
"111568827","XM_055013340.1","XP_054869315.1",3602
"111568827","XM_035948351.2","XP_035804244.2",3589
"111568827","XM_035948355.2","XP_035804248.2",3532
"111568827","XM_035948354.2","XP_035804247.2",3535
"111568827","XM_035948357.2","XP_035804250.2",3518
"111568827","XM_035948356.2","XP_035804249.2",3521
"111568829","XM_055011010.1","XP_054866985.1",5365
"111573031","XM_023276977.3","XP_023132745.1",4325
"111565279","XM_023265324.3","XP_023121092.1",1894
"111565280","XM_023265325.3","XP_023121093.1",1211
"111565253","XM_023265287.3","XP_023121055.1",2325
"111565739","XM_035946284.2","XP_035802177.1",1651
"111565739","XM_023265955.3","XP_023121723.1",1513
"111565738","XM_023265953.3","XP_023121721.1",5413
"111565738","XM_055009750.1","XP_054865725.1",1882
"111565745","XM_023265966.3","XP_023121734.1",2252
"111565745","XM_023265965.3","XP_023121733.1",2269
"111565740","XM_055010650.1","XP_054866625.1",1102
"111565740","XM_023265956.3","XP_023121724.1",1149
"111565742","XM_023265959.3","XP_023121727.1",2276
"111565742","XM_023265960.3","XP_023121728.1",3135
"111565741","XM_035946285.2","XP_035802178.2",2661
"111565741","XM_023265958.3","XP_023121726.2",2763
"111565741","XM_055015938.1","XP_054871913.1",2733
"111565748","XM_023265972.3","XP_023121740.1",1659
"111565748","XM_055016072.1","XP_054872047.1",1653
"111565747","XM_023265968.3","XP_023121736.2",2483
"111565747","XM_023265969.3","XP_023121737.2",2473
"111565744","XM_023265964.3","XP_023121732.1",3623
"111565744","XM_055012715.1","XP_054868690.1",3676
"111565755","XM_023265986.2","XP_023121754.2",1320
"111565755","XM_023265985.2","XP_023121753.2",1390
"111565755","XM_035946299.2","XP_035802192.2",1418
"111565757","XM_023265989.3","XP_023121757.1",1961
"111565737","XM_023265952.3","XP_023121720.1",1823
"111565736","XM_023265951.3","XP_023121719.2",5546
"111565736","XM_023265950.3","XP_023121718.2",5548
"111565759","XM_035946295.2","XP_035802188.2",2185
"111565759","XM_035946294.2","XP_035802187.2",2181
"111565759","XM_023265992.3","XP_023121760.3",2112
"111565734","XM_023265944.3","XP_023121712.2",10274
"111565734","XM_055011265.1","XP_054867240.1",10432
"111565734","XM_055011270.1","XP_054867245.1",10384
"111565750","XM_023265973.2","XP_023121741.1",744
"111565750","XM_023265974.2","XP_023121742.1",1230
"111565760","XM_023265993.3","XP_023121761.1",4353
"111565758","XM_035946293.2","XP_035802186.1",6398
"111565758","XM_023265990.3","XP_023121758.1",5961
"111565743","XM_023265961.3","XP_023121729.1",2034
"111565752","XM_035946291.2","XP_035802184.2",2065
"111565753","XM_023265983.3","XP_023121751.1",2862
"111565751","XM_023265976.3","XP_023121744.2",6517
"111565751","XM_023265975.3","XP_023121743.2",6891
"111565751","XM_055005820.1","XP_054861795.1",6832
"111565751","XM_055005877.1","XP_054861852.1",6705
"111565751","XM_055005910.1","XP_054861885.1",6646
"111565735","XM_023265945.3","XP_023121713.1",11465
"111565735","XM_023265948.3","XP_023121716.1",11399
"111565735","XM_035946286.2","XP_035802179.1",11366
"111565735","XM_023265949.3","XP_023121717.1",11282
"111565735","XM_023265947.3","XP_023121715.1",11462
"111565756","XM_023265988.3","XP_023121756.1",2357
"111565746","XM_023265967.3","XP_023121735.1",3763
"111565746","XM_035946287.2","XP_035802180.1",7518
"111577626","XM_023283978.3","XP_023139746.1",1508
"111577627","XM_023283980.3","XP_023139748.1",2619
"111577627","XM_023283979.3","XP_023139747.1",2629
"111577628","XM_023283982.3","XP_023139750.1",1524
"111577622","XM_023283975.3","XP_023139743.2",1505
"111577622","XM_055011983.1","XP_054867958.1",1404
"111577623","XM_023283976.3","XP_023139744.1",2193
"111577618","XM_023283969.3","XP_023139737.1",4949
