gene_ID,transcript_ID,protein_ID
ATP6,ATP6,NP_007760.1
ATP8,ATP8,NP_007759.1
COX1,COX1,NP_007757.1
COX2,COX2,NP_007758.1
COX3,COX3,NP_007761.1
CYTB,CYTB,NP_007767.1
LOC118403006,XM_035813087.1,XP_035668980.1
LOC118403008,XM_035801444.1,XP_035657337.1
LOC118403009,XM_035801445.1,XP_035657338.1
LOC118403010,XM_035801446.1,XP_035657339.1
LOC118403011,XM_035801447.1,XP_035657340.1
LOC118403012,XM_035801458.1,XP_035657351.1
LOC118403013,XM_035801448.1,XP_035657341.1
LOC118403014,XM_035801449.1,XP_035657342.1
LOC118403015,XM_035801450.1,XP_035657343.1
LOC118403016,XM_035801452.1,XP_035657345.1
LOC118403017,XM_035801453.1,XP_035657346.1
LOC118403018,XM_035801454.1,XP_035657347.1
LOC118403019,XM_035801455.1,XP_035657348.1
LOC118403020,XM_035801456.1,XP_035657349.1
LOC118403021,XM_035801457.1,XP_035657350.1
LOC118403022,XM_035801459.1,XP_035657352.1
LOC118403023,XM_035801460.1,XP_035657353.1
LOC118403024,XM_035801461.1,XP_035657354.1
LOC118403025,XM_035801462.1,XP_035657355.1
LOC118403026,XM_035801463.1,XP_035657356.1
LOC118403027,XM_035801464.1,XP_035657357.1
LOC118403028,XM_035801468.1,XP_035657361.1
LOC118403029,XM_035801465.1,XP_035657358.1
LOC118403030,XM_035801466.1,XP_035657359.1
LOC118403031,XM_035801467.1,XP_035657360.1
LOC118403032,XM_035801469.1,XP_035657362.1
LOC118403033,XM_035801470.1,XP_035657363.1
LOC118403034,XM_035801471.1,XP_035657364.1
LOC118403035,XM_035801472.1,XP_035657365.1
LOC118403036,XM_035801473.1,XP_035657366.1
LOC118403037,XM_035801474.1,XP_035657367.1
LOC118403038,XM_035801478.1,XP_035657371.1
LOC118403039,XM_035801475.1,XP_035657368.1
LOC118403040,XM_035801476.1,XP_035657369.1
LOC118403041,XM_035801477.1,XP_035657370.1
LOC118403042,XM_035801479.1,XP_035657372.1
LOC118403043,XM_035801480.1,XP_035657373.1
LOC118403044,XM_035801481.1,XP_035657374.1
LOC118403045,XM_035801482.1,XP_035657375.1
LOC118403046,XM_035801483.1,XP_035657376.1
LOC118403047,XM_035801484.1,XP_035657377.1
LOC118403048,XM_035801485.1,XP_035657378.1
LOC118403049,XM_035801489.1,XP_035657382.1
LOC118403050,XM_035801486.1,XP_035657379.1
LOC118403051,XM_035801487.1,XP_035657380.1
LOC118403052,XM_035801488.1,XP_035657381.1
LOC118403053,XM_035801490.1,XP_035657383.1
LOC118403054,XM_035801491.1,XP_035657384.1
LOC118403055,XM_035801492.1,XP_035657385.1
LOC118403056,XM_035801493.1,XP_035657386.1
LOC118403057,XM_035801494.1,XP_035657387.1
LOC118403058,XM_035801498.1,XP_035657391.1
LOC118403059,XM_035801495.1,XP_035657388.1
LOC118403060,XM_035801496.1,XP_035657389.1
LOC118403061,XM_035801497.1,XP_035657390.1
LOC118403062,XM_035801499.1,XP_035657392.1
LOC118403063,XM_035801500.1,XP_035657393.1
LOC118403064,XM_035801501.1,XP_035657394.1
LOC118403065,XM_035801502.1,XP_035657395.1
LOC118403066,XM_035801503.1,XP_035657396.1
LOC118403067,XM_035801504.1,XP_035657397.1
LOC118403068,XM_035801505.1,XP_035657398.1
LOC118403069,XM_035801509.1,XP_035657402.1
LOC118403070,XM_035801506.1,XP_035657399.1
LOC118403071,XM_035801507.1,XP_035657400.1
LOC118403072,XM_035801508.1,XP_035657401.1
LOC118403073,XM_035801510.1,XP_035657403.1
LOC118403075,XM_035801511.1,XP_035657404.1
LOC118403076,XM_035801560.1,XP_035657453.1
