"geneID","transcriptID","proteinID","symbol","description"
129348986,"XM_055010900.1","XP_054866875","LOC129348986","zinc finger protein 609"
111568353,"XM_023269970.3","XP_023125738","trip4","thyroid hormone receptor interactor 4"
111568349,"XM_023269966.3","XP_023125734","chrna7a","cholinergic receptor, nicotinic, alpha 7a (neuronal)"
111568351,"XM_023269968.3","XP_023125736","cln6a","CLN6 transmembrane ER protein a"
111568350,"XM_023269967.3","XP_023125735","calml4a","calmodulin-like 4a"
111568352,"XM_055011123.1","XP_054867098","LOC111568352_ADAMTS7","A disintegrin and metalloproteinase with thrombospondin motifs 7"
111571207,"XM_023274301.3","XP_023130069","rxfp3.3a2","relaxin family peptide receptor 3.3a2"
111571206,"XM_023274300.2","XP_023130068","rps17_ENSAOCG00000012838","ribosomal protein S17"
111571202,"XM_023274284.3","XP_023130052","csnk1g1","casein kinase 1, gamma 1"
111571203,"XM_023274290.3","XP_023130058","LOC111571203_SNX1","sorting nexin-1"
111571204,"XM_055011891.1","XP_054867866","neo1a","neogenin 1a"
111567966,"XM_023269386.3","XP_023125154","bbs4","Bardet-Biedl syndrome 4"
111567963,"XM_023269380.3","XP_023125148","scamp2l_SCAMP2","secretory carrier membrane protein 2, like"
111567964,"XM_055009165.1","XP_054865140","myo9aa","myosin IXAa"
111585798,"XM_023295411.3","XP_023151179","senp8","SUMO peptidase family member, NEDD8 specific"
111580711,"XM_055011732.1","XP_054867707","LOC111580711_ENSAOCG00000021594","GRAM domain-containing protein 2A-like"
111574585,"XM_023279273.3","XP_023135041","anp32a","acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
111574583,"XM_023279271.3","XP_023135039","coro2ba_CORO2B","coronin, actin binding protein, 2Ba"
111574590,"XM_023279279.3","XP_023135047","itga11a","integrin, alpha 11a"
111588606,"XM_055018185.1","XP_054874160","LOC111588606","protein TBATA-like.5"
111564424,"XM_023263978.3","XP_023119746","LOC111564424_QRFPR","pyroglutamylated RF-amide peptide receptor-like"
129349160,"XM_055011617.1","XP_054867592","LOC129349160","DNA-directed RNA polymerase III subunit RPC1-like.13"
111564416,"XM_055009404.1","XP_054865379","LOC111564416_polr3a","DNA-directed RNA polymerase III subunit RPC1-like.2"
111564427,"XM_035945316.2","XP_035801209","cpeb1b","cytoplasmic polyadenylation element binding protein 1b"
111564421,"XM_055009433.1","XP_054865408","LOC111564421_rbpms2a","RNA-binding protein, mRNA-processing factor 2a"
111564418,"XM_035945321.2","XP_035801214","LOC111564418_PSMA4","proteasome subunit alpha type-4"
111564417,"XM_023263964.3","XP_023119732","LOC111564417_slc25a44b","solute carrier family 25 member 44"
111564423,"XM_023263977.3","XP_023119745","LOC111564423_CRABP1","cellular retinoic acid-binding protein 1"
111564410,"XM_023263955.3","XP_023119723","LOC111564410_ENSAOCG00000003876","paired amphipathic helix protein Sin3a-like"
111564425,"XM_055013397.1","XP_054869372","LOC111564425_lctla","lactase-like protein"
111564426,"XM_023263980.3","XP_023119748","crybgx","crystallin beta gamma X"
111564411,"XM_023263956.2","XP_023119724","ccnb2","cyclin B2"
111564412,"XM_023263957.3","XP_023119725","cars1","cysteinyl-tRNA synthetase 1"
111564413,"XM_023263959.3","XP_023119727","pex16","peroxisomal biogenesis factor 16"
111564419,"XM_055013418.1","XP_054869393","arfgap2","ADP-ribosylation factor GTPase activating protein 2"
111564420,"XM_035945322.2","XP_035801215","glceb","glucuronic acid epimerase b"
111564422,"XM_023263976.3","XP_023119744","paqr5b_paqr5a","progestin and adipoQ receptor family member Vb"
111564414,"XM_035945310.2","XP_035801203","LOC111564414_kif23","kinesin-like protein KIF23"
111586093,"XM_055011019.1","XP_054866994","tle3b_TLE3","TLE family member 3, transcriptional corepressor b"
111564885,"XM_023264781.3","XP_023120549","uacab_UACA","uveal autoantigen with coiled-coil domains and ankyrin repeats b"
111564639,"XM_035945428.2","XP_035801321","LOC111564639_ENSAOCG00000018876","mortality factor 4-like protein 1"
111568828,"XM_023270667.3","XP_023126435","rxfp3.3a1_ENSAOCG00000014520","relaxin family peptide receptor 3.3a1"
111568826,"XM_023270658.3","XP_023126426","pias1a_PIAS1","protein inhibitor of activated STAT, 1a"
111568827,"XM_055013349.1","XP_054869324","skor1a","SKI family transcriptional corepressor 1a"
111568829,"XM_055011010.1","XP_054866985","map2k5","mitogen-activated protein kinase kinase 5"
111573031,"XM_023276977.3","XP_023132745","smad3a_SMAD3","SMAD family member 3a"
111565279,"XM_023265324.3","XP_023121092","smad6a_SMAD6","SMAD family member 6a"
111565280,"XM_023265325.3","XP_023121093","tmem208","transmembrane protein 208"
111565253,"XM_023265287.3","XP_023121055","slc39a1","solute carrier family 39 member 1"
111565739,"XM_035946284.2","XP_035802177","rlbp1a_ENSAOCG00000001129","retinaldehyde binding protein 1a"
111565738,"XM_023265953.3","XP_023121721","LOC111565738_ABHD2","monoacylglycerol lipase ABHD2"
111565745,"XM_023265965.3","XP_023121733","LOC111565745_mfge8a","EGF-like repeat and discoidin I-like domain-containing protein 3"
111565740,"XM_023265956.3","XP_023121724","mibp2","muscle-specific beta 1 integrin binding protein 2"
111565742,"XM_023265960.3","XP_023121728","bloc1s6","biogenesis of lysosomal organelles complex-1, subunit 6, pallidin"
111565741,"XM_023265958.3","XP_023121726","slc30a4","solute carrier family 30 member 4"
111565748,"XM_023265972.3","XP_023121740","c1h15orf48_zgc:153317","chromosome 1 C15orf48 homolog"
111565747,"XM_023265968.3","XP_023121736","afg2b","AFG2 AAA ATPase homolog B"
111565744,"XM_055012715.1","XP_054868690","LOC111565744_ENSAOCG00000016782","NAD(P) transhydrogenase, mitochondrial-like"
111565755,"XM_035946299.2","XP_035802192","dtwd1","DTW domain containing 1"
111565757,"XM_023265989.3","XP_023121757","fgf7","fibroblast growth factor 7"
111565737,"XM_023265952.3","XP_023121720","cops2","COP9 signalosome subunit 2"
111565736,"XM_023265950.3","XP_023121718","secisbp2l","SECIS binding protein 2-like"
111565759,"XM_035946295.2","XP_035802188","LOC111565759","SHC-transforming protein 4"
111565734,"XM_055011265.1","XP_054867240","fbn1","fibrillin 1"
111565750,"XM_023265974.2","XP_023121742","dut","deoxyuridine triphosphatase"
111565760,"XM_023265993.3","XP_023121761","slc12a1","solute carrier family 12 member 1"
111565758,"XM_035946293.2","XP_035802186","ctxn2","cortexin 2"
111565743,"XM_023265961.3","XP_023121729","myef2","myelin expression factor 2"
111565752,"XM_035946291.2","XP_035802184","slc24a5","solute carrier family 24 member 5"
111565753,"XM_023265983.3","XP_023121751","rnf128a_ENSAOCG00000017502","ring finger protein 128a"
111565751,"XM_023265975.3","XP_023121743","sema6dl","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D, like"
111565735,"XM_023265945.3","XP_023121713","dmxl2","Dmx-like 2"
111565756,"XM_023265988.3","XP_023121756","gldn","gliomedin"
111565746,"XM_035946287.2","XP_035802180","LOC111565746_cyp19a1a","aromatase"
111577626,"XM_023283978.3","XP_023139746","tnfaip8l3","tumor necrosis factor, alpha-induced protein 8-like 3"
111577627,"XM_023283979.3","XP_023139747","scg3","secretogranin III"
111577628,"XM_023283982.3","XP_023139750","lysmd2","LysM, putative peptidoglycan-binding, domain containing 2"
111577622,"XM_023283975.3","XP_023139743","tmod2","tropomodulin 2"
111577623,"XM_023283976.3","XP_023139744","leo1","LEO1 homolog, Paf1/RNA polymerase II complex component"
111577618,"XM_023283971.3","XP_023139739","mapk6","mitogen-activated protein kinase 6"
111577620,"XM_035954528.2","XP_035810421","LOC111577620_USP50","uncharacterized LOC111577620"
111577625,"XM_035954527.2","XP_035810420","usp8","ubiquitin specific peptidase 8"
111577617,"XM_023283968.3","XP_023139736","hdc","histidine decarboxylase"
111577621,"XM_023283973.3","XP_023139741","LOC111577621_slc27a2a","long-chain fatty acid transport protein 2-like"
129349535,"XM_055013075.1","XP_054869050","LOC129349535","DNA-directed RNA polymerase III subunit RPC1-like.15"
111563882,"XM_055012117.1","XP_054868092","zgc:158482","uncharacterized LOC111563882"
111563874,"XM_023263157.3","XP_023118925","gatm","glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
111563764,"XM_023263012.3","XP_023118780","pde8a","phosphodiesterase 8A"
111563916,"XM_023263193.3","XP_023118961","LOC111563916_ENSAOCG00000001817","KH homology domain-containing protein 4-like"
111563902,"XM_023263186.3","XP_023118954","LOC111563902_FSD2","fibronectin type III and SPRY domain-containing protein 2"
111563893,"XM_023263174.3","XP_023118942","LOC111563893_WHAMM","WASP homolog associated with actin, golgi membranes and microtubules"
111567335,"XM_023268379.3","XP_023124147","homer2","homer scaffold protein 2"
111567336,"XM_023268381.3","XP_023124149","ramac","RNA guanine-7 methyltransferase activating subunit"
111567331,"XM_023268371.3","XP_023124139","LOC111567331_BTBD1","BTB/POZ domain-containing protein 1"
111567348,"XM_055010787.1","XP_054866762","LOC111567348","transmembrane 6 superfamily member 1"
111567329,"XM_023268368.3","XP_023124136","zrsr2","zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"
111567330,"XM_023268369.3","XP_023124137","LOC111567330_ap1s2","AP-1 complex subunit sigma-2-like"
111567333,"XM_023268373.3","XP_023124141","phka2","phosphorylase kinase, alpha 2 (liver)"
111567342,"XM_055017037.1","XP_054873012","ppef1","protein phosphatase, EF-hand calcium binding domain 1"
111567349,"XM_035947302.2","XP_035803195","rs1a_RS1","retinoschisin 1a"
111567347,"XM_023268397.3","XP_023124165","cdkl5","cyclin-dependent kinase-like 5.1"
111567337,"XM_023268383.3","XP_023124151","scml2","Scm polycomb group protein like 2"
111567339,"XM_035947318.2","XP_035803211","nhsb","Nance-Horan syndrome b (congenital cataracts and dental anomalies)"
111567340,"XM_055005083.1","XP_054861058","ace2","angiotensin I converting enzyme 2"
111567341,"XM_023268389.3","XP_023124157","il1fma_ENSAOCG00000024302","interleukin-1 family member A"
111567350,"XM_023268405.3","XP_023124173","zgc:113276","uncharacterized LOC111567350"
111583874,"XM_023293126.3","XP_023148894","pir","pirin"
111566422,"XM_055013127.1","XP_054869102","vegfd","vascular endothelial growth factor D"
111566429,"XM_023267014.3","XP_023122782","LOC111566429_GRPR","gastrin-releasing peptide receptor-like"
111566428,"XM_023267013.3","XP_023122781","gpa33a_ENSAOCG00000016794","glycoprotein A33 (transmembrane), paralog a"
111566424,"XM_055013561.1","XP_054869536","LOC111566424_ENSAOCG00000016826","immunoglobulin-like domain-containing receptor 2"
111566426,"XM_023267011.3","XP_023122779","ildr1a","immunoglobulin-like domain containing receptor 1a"
111566427,"XM_023267012.3","XP_023122780","tmem39a","transmembrane protein 39A"
111566425,"XM_023267009.3","XP_023122777","LOC111566425_PRSS23","serine protease 23"
111566431,"XM_035946703.2","XP_035802596","LOC111566431","coiled-coil domain-containing protein 81"
111566421,"XM_055012846.1","XP_054868821","LOC111566421","uncharacterized LOC111566421"
111564828,"XM_055012841.1","XP_054868816","LOC111564828","interleukin-18 receptor accessory protein-like"
118469910,"XM_035945661.2","XP_035801554","LOC118469910","interleukin-18 receptor 1-like.1"
111564831,"XM_023264652.3","XP_023120420","LOC111564831_pcnp","PEST proteolytic signal-containing nuclear protein"
111564829,"XM_023264650.3","XP_023120418","stk16","serine/threonine kinase 16"
111564860,"XM_023264698.3","XP_023120466","mnx2b","motor neuron and pancreas homeobox 2b"
111564849,"XM_055013041.1","XP_054869016","atic","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
111564840,"XM_023264670.3","XP_023120438","fn1b","fibronectin 1b"
111564850,"XM_023264687.3","XP_023120455","psmd14","proteasome 26S subunit, non-ATPase 14"
111564836,"XM_023264663.3","XP_023120431","rbms1a_RBMS1","RNA binding motif, single stranded interacting protein 1a"
111564832,"XM_035945672.2","XP_035801565","itgb6","integrin, beta 6"
111564825,"XM_055007454.1","XP_054863429","pla2r1","phospholipase A2 receptor 1"
111564824,"XM_023264635.3","XP_023120403","ly75","lymphocyte antigen 75"
